geometry
"POLYGON ((4.64663 52.26618, 4.6495812704125425 52.26618, 4.6495812704125425 52.2679818018018, 4.64663 52.2679818018018, 4.64663 52.26618))"
"POLYGON ((4.947659582079336 52.38690072072087, 4.950610852491878 52.38690072072087, 4.950610852491878 52.38870252252267, 4.947659582079336 52.38870252252267, 4.947659582079336 52.38690072072087))"
"POLYGON ((4.950610852491878 52.38690072072087, 4.953562122904421 52.38690072072087, 4.953562122904421 52.38870252252267, 4.950610852491878 52.38870252252267, 4.950610852491878 52.38690072072087))"
"POLYGON ((4.953562122904421 52.38690072072087, 4.956513393316963 52.38690072072087, 4.956513393316963 52.38870252252267, 4.953562122904421 52.38870252252267, 4.953562122904421 52.38690072072087))"
"POLYGON ((4.956513393316963 52.38690072072087, 4.959464663729506 52.38690072072087, 4.959464663729506 52.38870252252267, 4.956513393316963 52.38870252252267, 4.956513393316963 52.38690072072087))"
"POLYGON ((4.959464663729506 52.38690072072087, 4.962415934142048 52.38690072072087, 4.962415934142048 52.38870252252267, 4.959464663729506 52.38870252252267, 4.959464663729506 52.38690072072087))"
"POLYGON ((4.962415934142048 52.38690072072087, 4.965367204554591 52.38690072072087, 4.965367204554591 52.38870252252267, 4.962415934142048 52.38870252252267, 4.962415934142048 52.38690072072087))"
"POLYGON ((4.965367204554591 52.38690072072087, 4.968318474967133 52.38690072072087, 4.968318474967133 52.38870252252267, 4.965367204554591 52.38870252252267, 4.965367204554591 52.38690072072087))"
"POLYGON ((4.968318474967133 52.38690072072087, 4.971269745379676 52.38690072072087, 4.971269745379676 52.38870252252267, 4.968318474967133 52.38870252252267, 4.968318474967133 52.38690072072087))"
"POLYGON ((4.971269745379676 52.38690072072087, 4.974221015792218 52.38690072072087, 4.974221015792218 52.38870252252267, 4.971269745379676 52.38870252252267, 4.971269745379676 52.38690072072087))"
"POLYGON ((4.974221015792218 52.38690072072087, 4.977172286204761 52.38690072072087, 4.977172286204761 52.38870252252267, 4.974221015792218 52.38870252252267, 4.974221015792218 52.38690072072087))"
"POLYGON ((4.977172286204761 52.38690072072087, 4.980123556617303 52.38690072072087, 4.980123556617303 52.38870252252267, 4.977172286204761 52.38870252252267, 4.977172286204761 52.38690072072087))"
"POLYGON ((4.980123556617303 52.38690072072087, 4.983074827029846 52.38690072072087, 4.983074827029846 52.38870252252267, 4.980123556617303 52.38870252252267, 4.980123556617303 52.38690072072087))"
"POLYGON ((4.983074827029846 52.38690072072087, 4.986026097442388 52.38690072072087, 4.986026097442388 52.38870252252267, 4.983074827029846 52.38870252252267, 4.983074827029846 52.38690072072087))"
"POLYGON ((4.986026097442388 52.38690072072087, 4.988977367854931 52.38690072072087, 4.988977367854931 52.38870252252267, 4.986026097442388 52.38870252252267, 4.986026097442388 52.38690072072087))"
"POLYGON ((4.988977367854931 52.38690072072087, 4.991928638267473 52.38690072072087, 4.991928638267473 52.38870252252267, 4.988977367854931 52.38870252252267, 4.988977367854931 52.38690072072087))"
"POLYGON ((4.991928638267473 52.38690072072087, 4.994879908680016 52.38690072072087, 4.994879908680016 52.38870252252267, 4.991928638267473 52.38870252252267, 4.991928638267473 52.38690072072087))"
"POLYGON ((4.994879908680016 52.38690072072087, 4.997831179092558 52.38690072072087, 4.997831179092558 52.38870252252267, 4.994879908680016 52.38870252252267, 4.994879908680016 52.38690072072087))"
"POLYGON ((4.997831179092558 52.38690072072087, 5.000782449505101 52.38690072072087, 5.000782449505101 52.38870252252267, 4.997831179092558 52.38870252252267, 4.997831179092558 52.38690072072087))"
"POLYGON ((5.000782449505101 52.38690072072087, 5.003733719917643 52.38690072072087, 5.003733719917643 52.38870252252267, 5.000782449505101 52.38870252252267, 5.000782449505101 52.38690072072087))"
"POLYGON ((5.003733719917643 52.38690072072087, 5.006684990330186 52.38690072072087, 5.006684990330186 52.38870252252267, 5.003733719917643 52.38870252252267, 5.003733719917643 52.38690072072087))"
"POLYGON ((5.006684990330186 52.38690072072087, 5.009636260742728 52.38690072072087, 5.009636260742728 52.38870252252267, 5.006684990330186 52.38870252252267, 5.006684990330186 52.38690072072087))"
"POLYGON ((5.009636260742728 52.38690072072087, 5.012587531155271 52.38690072072087, 5.012587531155271 52.38870252252267, 5.009636260742728 52.38870252252267, 5.009636260742728 52.38690072072087))"
"POLYGON ((5.012587531155271 52.38690072072087, 5.015538801567813 52.38690072072087, 5.015538801567813 52.38870252252267, 5.012587531155271 52.38870252252267, 5.012587531155271 52.38690072072087))"
"POLYGON ((5.015538801567813 52.38690072072087, 5.018490071980356 52.38690072072087, 5.018490071980356 52.38870252252267, 5.015538801567813 52.38870252252267, 5.015538801567813 52.38690072072087))"
"POLYGON ((5.018490071980356 52.38690072072087, 5.021441342392898 52.38690072072087, 5.021441342392898 52.38870252252267, 5.018490071980356 52.38870252252267, 5.018490071980356 52.38690072072087))"
"POLYGON ((5.021441342392898 52.38690072072087, 5.024392612805441 52.38690072072087, 5.024392612805441 52.38870252252267, 5.021441342392898 52.38870252252267, 5.021441342392898 52.38690072072087))"
"POLYGON ((5.024392612805441 52.38690072072087, 5.027343883217983 52.38690072072087, 5.027343883217983 52.38870252252267, 5.024392612805441 52.38870252252267, 5.024392612805441 52.38690072072087))"
"POLYGON ((5.027343883217983 52.38690072072087, 5.030295153630526 52.38690072072087, 5.030295153630526 52.38870252252267, 5.027343883217983 52.38870252252267, 5.027343883217983 52.38690072072087))"
"POLYGON ((5.030295153630526 52.38690072072087, 5.033246424043068 52.38690072072087, 5.033246424043068 52.38870252252267, 5.030295153630526 52.38870252252267, 5.030295153630526 52.38690072072087))"
"POLYGON ((5.033246424043068 52.38690072072087, 5.036197694455611 52.38690072072087, 5.036197694455611 52.38870252252267, 5.033246424043068 52.38870252252267, 5.033246424043068 52.38690072072087))"
"POLYGON ((5.036197694455611 52.38690072072087, 5.039148964868153 52.38690072072087, 5.039148964868153 52.38870252252267, 5.036197694455611 52.38870252252267, 5.036197694455611 52.38690072072087))"
"POLYGON ((5.039148964868153 52.38690072072087, 5.042100235280696 52.38690072072087, 5.042100235280696 52.38870252252267, 5.039148964868153 52.38870252252267, 5.039148964868153 52.38690072072087))"
"POLYGON ((5.042100235280696 52.38690072072087, 5.045051505693238 52.38690072072087, 5.045051505693238 52.38870252252267, 5.042100235280696 52.38870252252267, 5.042100235280696 52.38690072072087))"
"POLYGON ((5.045051505693238 52.38690072072087, 5.048002776105781 52.38690072072087, 5.048002776105781 52.38870252252267, 5.045051505693238 52.38870252252267, 5.045051505693238 52.38690072072087))"
"POLYGON ((5.048002776105781 52.38690072072087, 5.050954046518323 52.38690072072087, 5.050954046518323 52.38870252252267, 5.048002776105781 52.38870252252267, 5.048002776105781 52.38690072072087))"
"POLYGON ((5.050954046518323 52.38690072072087, 5.053905316930866 52.38690072072087, 5.053905316930866 52.38870252252267, 5.050954046518323 52.38870252252267, 5.050954046518323 52.38690072072087))"
"POLYGON ((5.053905316930866 52.38690072072087, 5.056856587343408 52.38690072072087, 5.056856587343408 52.38870252252267, 5.053905316930866 52.38870252252267, 5.053905316930866 52.38690072072087))"
"POLYGON ((5.056856587343408 52.38690072072087, 5.059807857755951 52.38690072072087, 5.059807857755951 52.38870252252267, 5.056856587343408 52.38870252252267, 5.056856587343408 52.38690072072087))"
"POLYGON ((5.059807857755951 52.38690072072087, 5.062759128168493 52.38690072072087, 5.062759128168493 52.38870252252267, 5.059807857755951 52.38870252252267, 5.059807857755951 52.38690072072087))"
"POLYGON ((5.062759128168493 52.38690072072087, 5.065710398581036 52.38690072072087, 5.065710398581036 52.38870252252267, 5.062759128168493 52.38870252252267, 5.062759128168493 52.38690072072087))"
"POLYGON ((5.065710398581036 52.38690072072087, 5.068661668993578 52.38690072072087, 5.068661668993578 52.38870252252267, 5.065710398581036 52.38870252252267, 5.065710398581036 52.38690072072087))"
"POLYGON ((5.068661668993578 52.38690072072087, 5.071612939406121 52.38690072072087, 5.071612939406121 52.38870252252267, 5.068661668993578 52.38870252252267, 5.068661668993578 52.38690072072087))"
"POLYGON ((5.071612939406121 52.38690072072087, 5.074564209818663 52.38690072072087, 5.074564209818663 52.38870252252267, 5.071612939406121 52.38870252252267, 5.071612939406121 52.38690072072087))"
"POLYGON ((5.074564209818663 52.38690072072087, 5.077515480231206 52.38690072072087, 5.077515480231206 52.38870252252267, 5.074564209818663 52.38870252252267, 5.074564209818663 52.38690072072087))"
"POLYGON ((5.077515480231206 52.38690072072087, 5.080466750643748 52.38690072072087, 5.080466750643748 52.38870252252267, 5.077515480231206 52.38870252252267, 5.077515480231206 52.38690072072087))"
"POLYGON ((5.080466750643748 52.38690072072087, 5.083418021056291 52.38690072072087, 5.083418021056291 52.38870252252267, 5.080466750643748 52.38870252252267, 5.080466750643748 52.38690072072087))"
"POLYGON ((5.083418021056291 52.38690072072087, 5.086369291468833 52.38690072072087, 5.086369291468833 52.38870252252267, 5.083418021056291 52.38870252252267, 5.083418021056291 52.38690072072087))"
"POLYGON ((5.086369291468833 52.38690072072087, 5.089320561881376 52.38690072072087, 5.089320561881376 52.38870252252267, 5.086369291468833 52.38870252252267, 5.086369291468833 52.38690072072087))"
"POLYGON ((5.089320561881376 52.38690072072087, 5.092271832293918 52.38690072072087, 5.092271832293918 52.38870252252267, 5.089320561881376 52.38870252252267, 5.089320561881376 52.38690072072087))"
"POLYGON ((5.092271832293918 52.38690072072087, 5.095223102706461 52.38690072072087, 5.095223102706461 52.38870252252267, 5.092271832293918 52.38870252252267, 5.092271832293918 52.38690072072087))"
"POLYGON ((5.095223102706461 52.38690072072087, 5.0981743731190035 52.38690072072087, 5.0981743731190035 52.38870252252267, 5.095223102706461 52.38870252252267, 5.095223102706461 52.38690072072087))"
"POLYGON ((5.0981743731190035 52.38690072072087, 5.101125643531546 52.38690072072087, 5.101125643531546 52.38870252252267, 5.0981743731190035 52.38870252252267, 5.0981743731190035 52.38690072072087))"
"POLYGON ((5.101125643531546 52.38690072072087, 5.1040769139440885 52.38690072072087, 5.1040769139440885 52.38870252252267, 5.101125643531546 52.38870252252267, 5.101125643531546 52.38690072072087))"
"POLYGON ((5.1040769139440885 52.38690072072087, 5.107028184356631 52.38690072072087, 5.107028184356631 52.38870252252267, 5.1040769139440885 52.38870252252267, 5.1040769139440885 52.38690072072087))"
"POLYGON ((5.107028184356631 52.38690072072087, 5.1099794547691735 52.38690072072087, 5.1099794547691735 52.38870252252267, 5.107028184356631 52.38870252252267, 5.107028184356631 52.38690072072087))"
"POLYGON ((5.1099794547691735 52.38690072072087, 5.112930725181716 52.38690072072087, 5.112930725181716 52.38870252252267, 5.1099794547691735 52.38870252252267, 5.1099794547691735 52.38690072072087))"
"POLYGON ((5.112930725181716 52.38690072072087, 5.1158819955942585 52.38690072072087, 5.1158819955942585 52.38870252252267, 5.112930725181716 52.38870252252267, 5.112930725181716 52.38690072072087))"
"POLYGON ((5.1158819955942585 52.38690072072087, 5.118833266006801 52.38690072072087, 5.118833266006801 52.38870252252267, 5.1158819955942585 52.38870252252267, 5.1158819955942585 52.38690072072087))"
"POLYGON ((5.118833266006801 52.38690072072087, 5.1217845364193435 52.38690072072087, 5.1217845364193435 52.38870252252267, 5.118833266006801 52.38870252252267, 5.118833266006801 52.38690072072087))"
"POLYGON ((5.1217845364193435 52.38690072072087, 5.124735806831886 52.38690072072087, 5.124735806831886 52.38870252252267, 5.1217845364193435 52.38870252252267, 5.1217845364193435 52.38690072072087))"
"POLYGON ((5.124735806831886 52.38690072072087, 5.1276870772444285 52.38690072072087, 5.1276870772444285 52.38870252252267, 5.124735806831886 52.38870252252267, 5.124735806831886 52.38690072072087))"
"POLYGON ((5.1276870772444285 52.38690072072087, 5.130638347656971 52.38690072072087, 5.130638347656971 52.38870252252267, 5.1276870772444285 52.38870252252267, 5.1276870772444285 52.38690072072087))"
"POLYGON ((5.130638347656971 52.38690072072087, 5.1335896180695135 52.38690072072087, 5.1335896180695135 52.38870252252267, 5.130638347656971 52.38870252252267, 5.130638347656971 52.38690072072087))"
"POLYGON ((5.1335896180695135 52.38690072072087, 5.136540888482056 52.38690072072087, 5.136540888482056 52.38870252252267, 5.1335896180695135 52.38870252252267, 5.1335896180695135 52.38690072072087))"
"POLYGON ((5.136540888482056 52.38690072072087, 5.1394921588945985 52.38690072072087, 5.1394921588945985 52.38870252252267, 5.136540888482056 52.38870252252267, 5.136540888482056 52.38690072072087))"
"POLYGON ((5.1394921588945985 52.38690072072087, 5.142443429307141 52.38690072072087, 5.142443429307141 52.38870252252267, 5.1394921588945985 52.38870252252267, 5.1394921588945985 52.38690072072087))"
"POLYGON ((5.142443429307141 52.38690072072087, 5.1453946997196836 52.38690072072087, 5.1453946997196836 52.38870252252267, 5.142443429307141 52.38870252252267, 5.142443429307141 52.38690072072087))"
"POLYGON ((5.1453946997196836 52.38690072072087, 5.148345970132226 52.38690072072087, 5.148345970132226 52.38870252252267, 5.1453946997196836 52.38870252252267, 5.1453946997196836 52.38690072072087))"
"POLYGON ((5.148345970132226 52.38690072072087, 5.151297240544769 52.38690072072087, 5.151297240544769 52.38870252252267, 5.148345970132226 52.38870252252267, 5.148345970132226 52.38690072072087))"
"POLYGON ((4.64663 52.38870252252267, 4.6495812704125425 52.38870252252267, 4.6495812704125425 52.390504324324475, 4.64663 52.390504324324475, 4.64663 52.38870252252267))"
"POLYGON ((4.6495812704125425 52.38870252252267, 4.652532540825085 52.38870252252267, 4.652532540825085 52.390504324324475, 4.6495812704125425 52.390504324324475, 4.6495812704125425 52.38870252252267))"
"POLYGON ((4.652532540825085 52.38870252252267, 4.655483811237628 52.38870252252267, 4.655483811237628 52.390504324324475, 4.652532540825085 52.390504324324475, 4.652532540825085 52.38870252252267))"
"POLYGON ((4.655483811237628 52.38870252252267, 4.65843508165017 52.38870252252267, 4.65843508165017 52.390504324324475, 4.655483811237628 52.390504324324475, 4.655483811237628 52.38870252252267))"
"POLYGON ((4.65843508165017 52.38870252252267, 4.661386352062713 52.38870252252267, 4.661386352062713 52.390504324324475, 4.65843508165017 52.390504324324475, 4.65843508165017 52.38870252252267))"
"POLYGON ((4.661386352062713 52.38870252252267, 4.664337622475255 52.38870252252267, 4.664337622475255 52.390504324324475, 4.661386352062713 52.390504324324475, 4.661386352062713 52.38870252252267))"
"POLYGON ((4.664337622475255 52.38870252252267, 4.667288892887798 52.38870252252267, 4.667288892887798 52.390504324324475, 4.664337622475255 52.390504324324475, 4.664337622475255 52.38870252252267))"
"POLYGON ((4.667288892887798 52.38870252252267, 4.67024016330034 52.38870252252267, 4.67024016330034 52.390504324324475, 4.667288892887798 52.390504324324475, 4.667288892887798 52.38870252252267))"
"POLYGON ((4.67024016330034 52.38870252252267, 4.673191433712883 52.38870252252267, 4.673191433712883 52.390504324324475, 4.67024016330034 52.390504324324475, 4.67024016330034 52.38870252252267))"
"POLYGON ((4.673191433712883 52.38870252252267, 4.676142704125425 52.38870252252267, 4.676142704125425 52.390504324324475, 4.673191433712883 52.390504324324475, 4.673191433712883 52.38870252252267))"
"POLYGON ((4.676142704125425 52.38870252252267, 4.679093974537968 52.38870252252267, 4.679093974537968 52.390504324324475, 4.676142704125425 52.390504324324475, 4.676142704125425 52.38870252252267))"
"POLYGON ((4.679093974537968 52.38870252252267, 4.68204524495051 52.38870252252267, 4.68204524495051 52.390504324324475, 4.679093974537968 52.390504324324475, 4.679093974537968 52.38870252252267))"
"POLYGON ((4.68204524495051 52.38870252252267, 4.684996515363053 52.38870252252267, 4.684996515363053 52.390504324324475, 4.68204524495051 52.390504324324475, 4.68204524495051 52.38870252252267))"
"POLYGON ((4.684996515363053 52.38870252252267, 4.687947785775595 52.38870252252267, 4.687947785775595 52.390504324324475, 4.684996515363053 52.390504324324475, 4.684996515363053 52.38870252252267))"
"POLYGON ((4.687947785775595 52.38870252252267, 4.690899056188138 52.38870252252267, 4.690899056188138 52.390504324324475, 4.687947785775595 52.390504324324475, 4.687947785775595 52.38870252252267))"
"POLYGON ((4.690899056188138 52.38870252252267, 4.69385032660068 52.38870252252267, 4.69385032660068 52.390504324324475, 4.690899056188138 52.390504324324475, 4.690899056188138 52.38870252252267))"
"POLYGON ((4.69385032660068 52.38870252252267, 4.696801597013223 52.38870252252267, 4.696801597013223 52.390504324324475, 4.69385032660068 52.390504324324475, 4.69385032660068 52.38870252252267))"
"POLYGON ((4.696801597013223 52.38870252252267, 4.699752867425765 52.38870252252267, 4.699752867425765 52.390504324324475, 4.696801597013223 52.390504324324475, 4.696801597013223 52.38870252252267))"
"POLYGON ((4.699752867425765 52.38870252252267, 4.702704137838308 52.38870252252267, 4.702704137838308 52.390504324324475, 4.699752867425765 52.390504324324475, 4.699752867425765 52.38870252252267))"
"POLYGON ((4.702704137838308 52.38870252252267, 4.70565540825085 52.38870252252267, 4.70565540825085 52.390504324324475, 4.702704137838308 52.390504324324475, 4.702704137838308 52.38870252252267))"
"POLYGON ((4.70565540825085 52.38870252252267, 4.708606678663393 52.38870252252267, 4.708606678663393 52.390504324324475, 4.70565540825085 52.390504324324475, 4.70565540825085 52.38870252252267))"
"POLYGON ((4.708606678663393 52.38870252252267, 4.711557949075935 52.38870252252267, 4.711557949075935 52.390504324324475, 4.708606678663393 52.390504324324475, 4.708606678663393 52.38870252252267))"
"POLYGON ((4.711557949075935 52.38870252252267, 4.714509219488478 52.38870252252267, 4.714509219488478 52.390504324324475, 4.711557949075935 52.390504324324475, 4.711557949075935 52.38870252252267))"
"POLYGON ((4.714509219488478 52.38870252252267, 4.71746048990102 52.38870252252267, 4.71746048990102 52.390504324324475, 4.714509219488478 52.390504324324475, 4.714509219488478 52.38870252252267))"
"POLYGON ((4.71746048990102 52.38870252252267, 4.720411760313563 52.38870252252267, 4.720411760313563 52.390504324324475, 4.71746048990102 52.390504324324475, 4.71746048990102 52.38870252252267))"
"POLYGON ((4.720411760313563 52.38870252252267, 4.723363030726105 52.38870252252267, 4.723363030726105 52.390504324324475, 4.720411760313563 52.390504324324475, 4.720411760313563 52.38870252252267))"
"POLYGON ((4.723363030726105 52.38870252252267, 4.726314301138648 52.38870252252267, 4.726314301138648 52.390504324324475, 4.723363030726105 52.390504324324475, 4.723363030726105 52.38870252252267))"
"POLYGON ((4.726314301138648 52.38870252252267, 4.72926557155119 52.38870252252267, 4.72926557155119 52.390504324324475, 4.726314301138648 52.390504324324475, 4.726314301138648 52.38870252252267))"
"POLYGON ((4.72926557155119 52.38870252252267, 4.732216841963733 52.38870252252267, 4.732216841963733 52.390504324324475, 4.72926557155119 52.390504324324475, 4.72926557155119 52.38870252252267))"
"POLYGON ((4.732216841963733 52.38870252252267, 4.735168112376275 52.38870252252267, 4.735168112376275 52.390504324324475, 4.732216841963733 52.390504324324475, 4.732216841963733 52.38870252252267))"
"POLYGON ((4.735168112376275 52.38870252252267, 4.738119382788818 52.38870252252267, 4.738119382788818 52.390504324324475, 4.735168112376275 52.390504324324475, 4.735168112376275 52.38870252252267))"
"POLYGON ((4.738119382788818 52.38870252252267, 4.74107065320136 52.38870252252267, 4.74107065320136 52.390504324324475, 4.738119382788818 52.390504324324475, 4.738119382788818 52.38870252252267))"
"POLYGON ((4.74107065320136 52.38870252252267, 4.744021923613903 52.38870252252267, 4.744021923613903 52.390504324324475, 4.74107065320136 52.390504324324475, 4.74107065320136 52.38870252252267))"
"POLYGON ((4.744021923613903 52.38870252252267, 4.746973194026445 52.38870252252267, 4.746973194026445 52.390504324324475, 4.744021923613903 52.390504324324475, 4.744021923613903 52.38870252252267))"
"POLYGON ((4.746973194026445 52.38870252252267, 4.749924464438988 52.38870252252267, 4.749924464438988 52.390504324324475, 4.746973194026445 52.390504324324475, 4.746973194026445 52.38870252252267))"
"POLYGON ((4.749924464438988 52.38870252252267, 4.75287573485153 52.38870252252267, 4.75287573485153 52.390504324324475, 4.749924464438988 52.390504324324475, 4.749924464438988 52.38870252252267))"
"POLYGON ((4.75287573485153 52.38870252252267, 4.755827005264073 52.38870252252267, 4.755827005264073 52.390504324324475, 4.75287573485153 52.390504324324475, 4.75287573485153 52.38870252252267))"
"POLYGON ((4.755827005264073 52.38870252252267, 4.758778275676615 52.38870252252267, 4.758778275676615 52.390504324324475, 4.755827005264073 52.390504324324475, 4.755827005264073 52.38870252252267))"
"POLYGON ((4.758778275676615 52.38870252252267, 4.761729546089158 52.38870252252267, 4.761729546089158 52.390504324324475, 4.758778275676615 52.390504324324475, 4.758778275676615 52.38870252252267))"
"POLYGON ((4.761729546089158 52.38870252252267, 4.7646808165017 52.38870252252267, 4.7646808165017 52.390504324324475, 4.761729546089158 52.390504324324475, 4.761729546089158 52.38870252252267))"
"POLYGON ((4.7646808165017 52.38870252252267, 4.767632086914243 52.38870252252267, 4.767632086914243 52.390504324324475, 4.7646808165017 52.390504324324475, 4.7646808165017 52.38870252252267))"
"POLYGON ((4.767632086914243 52.38870252252267, 4.770583357326785 52.38870252252267, 4.770583357326785 52.390504324324475, 4.767632086914243 52.390504324324475, 4.767632086914243 52.38870252252267))"
"POLYGON ((4.770583357326785 52.38870252252267, 4.773534627739328 52.38870252252267, 4.773534627739328 52.390504324324475, 4.770583357326785 52.390504324324475, 4.770583357326785 52.38870252252267))"
"POLYGON ((4.773534627739328 52.38870252252267, 4.77648589815187 52.38870252252267, 4.77648589815187 52.390504324324475, 4.773534627739328 52.390504324324475, 4.773534627739328 52.38870252252267))"
"POLYGON ((4.77648589815187 52.38870252252267, 4.779437168564413 52.38870252252267, 4.779437168564413 52.390504324324475, 4.77648589815187 52.390504324324475, 4.77648589815187 52.38870252252267))"
"POLYGON ((4.779437168564413 52.38870252252267, 4.782388438976955 52.38870252252267, 4.782388438976955 52.390504324324475, 4.779437168564413 52.390504324324475, 4.779437168564413 52.38870252252267))"
"POLYGON ((4.782388438976955 52.38870252252267, 4.785339709389498 52.38870252252267, 4.785339709389498 52.390504324324475, 4.782388438976955 52.390504324324475, 4.782388438976955 52.38870252252267))"
"POLYGON ((4.785339709389498 52.38870252252267, 4.78829097980204 52.38870252252267, 4.78829097980204 52.390504324324475, 4.785339709389498 52.390504324324475, 4.785339709389498 52.38870252252267))"
"POLYGON ((4.78829097980204 52.38870252252267, 4.791242250214583 52.38870252252267, 4.791242250214583 52.390504324324475, 4.78829097980204 52.390504324324475, 4.78829097980204 52.38870252252267))"
"POLYGON ((4.791242250214583 52.38870252252267, 4.794193520627125 52.38870252252267, 4.794193520627125 52.390504324324475, 4.791242250214583 52.390504324324475, 4.791242250214583 52.38870252252267))"
"POLYGON ((4.794193520627125 52.38870252252267, 4.797144791039668 52.38870252252267, 4.797144791039668 52.390504324324475, 4.794193520627125 52.390504324324475, 4.794193520627125 52.38870252252267))"
"POLYGON ((4.797144791039668 52.38870252252267, 4.80009606145221 52.38870252252267, 4.80009606145221 52.390504324324475, 4.797144791039668 52.390504324324475, 4.797144791039668 52.38870252252267))"
"POLYGON ((4.80009606145221 52.38870252252267, 4.803047331864753 52.38870252252267, 4.803047331864753 52.390504324324475, 4.80009606145221 52.390504324324475, 4.80009606145221 52.38870252252267))"
"POLYGON ((4.803047331864753 52.38870252252267, 4.805998602277295 52.38870252252267, 4.805998602277295 52.390504324324475, 4.803047331864753 52.390504324324475, 4.803047331864753 52.38870252252267))"
"POLYGON ((4.805998602277295 52.38870252252267, 4.808949872689838 52.38870252252267, 4.808949872689838 52.390504324324475, 4.805998602277295 52.390504324324475, 4.805998602277295 52.38870252252267))"
"POLYGON ((4.808949872689838 52.38870252252267, 4.81190114310238 52.38870252252267, 4.81190114310238 52.390504324324475, 4.808949872689838 52.390504324324475, 4.808949872689838 52.38870252252267))"
"POLYGON ((4.81190114310238 52.38870252252267, 4.814852413514923 52.38870252252267, 4.814852413514923 52.390504324324475, 4.81190114310238 52.390504324324475, 4.81190114310238 52.38870252252267))"
"POLYGON ((4.814852413514923 52.38870252252267, 4.817803683927465 52.38870252252267, 4.817803683927465 52.390504324324475, 4.814852413514923 52.390504324324475, 4.814852413514923 52.38870252252267))"
"POLYGON ((4.817803683927465 52.38870252252267, 4.820754954340008 52.38870252252267, 4.820754954340008 52.390504324324475, 4.817803683927465 52.390504324324475, 4.817803683927465 52.38870252252267))"
"POLYGON ((4.820754954340008 52.38870252252267, 4.82370622475255 52.38870252252267, 4.82370622475255 52.390504324324475, 4.820754954340008 52.390504324324475, 4.820754954340008 52.38870252252267))"
"POLYGON ((4.82370622475255 52.38870252252267, 4.826657495165093 52.38870252252267, 4.826657495165093 52.390504324324475, 4.82370622475255 52.390504324324475, 4.82370622475255 52.38870252252267))"
"POLYGON ((4.826657495165093 52.38870252252267, 4.829608765577635 52.38870252252267, 4.829608765577635 52.390504324324475, 4.826657495165093 52.390504324324475, 4.826657495165093 52.38870252252267))"
"POLYGON ((4.829608765577635 52.38870252252267, 4.832560035990178 52.38870252252267, 4.832560035990178 52.390504324324475, 4.829608765577635 52.390504324324475, 4.829608765577635 52.38870252252267))"
"POLYGON ((4.832560035990178 52.38870252252267, 4.83551130640272 52.38870252252267, 4.83551130640272 52.390504324324475, 4.832560035990178 52.390504324324475, 4.832560035990178 52.38870252252267))"
"POLYGON ((4.83551130640272 52.38870252252267, 4.838462576815263 52.38870252252267, 4.838462576815263 52.390504324324475, 4.83551130640272 52.390504324324475, 4.83551130640272 52.38870252252267))"
"POLYGON ((4.838462576815263 52.38870252252267, 4.841413847227805 52.38870252252267, 4.841413847227805 52.390504324324475, 4.838462576815263 52.390504324324475, 4.838462576815263 52.38870252252267))"
"POLYGON ((4.841413847227805 52.38870252252267, 4.844365117640348 52.38870252252267, 4.844365117640348 52.390504324324475, 4.841413847227805 52.390504324324475, 4.841413847227805 52.38870252252267))"
"POLYGON ((4.844365117640348 52.38870252252267, 4.8473163880528904 52.38870252252267, 4.8473163880528904 52.390504324324475, 4.844365117640348 52.390504324324475, 4.844365117640348 52.38870252252267))"
"POLYGON ((4.8473163880528904 52.38870252252267, 4.850267658465433 52.38870252252267, 4.850267658465433 52.390504324324475, 4.8473163880528904 52.390504324324475, 4.8473163880528904 52.38870252252267))"
"POLYGON ((4.850267658465433 52.38870252252267, 4.8532189288779755 52.38870252252267, 4.8532189288779755 52.390504324324475, 4.850267658465433 52.390504324324475, 4.850267658465433 52.38870252252267))"
"POLYGON ((4.8532189288779755 52.38870252252267, 4.856170199290518 52.38870252252267, 4.856170199290518 52.390504324324475, 4.8532189288779755 52.390504324324475, 4.8532189288779755 52.38870252252267))"
"POLYGON ((4.856170199290518 52.38870252252267, 4.8591214697030605 52.38870252252267, 4.8591214697030605 52.390504324324475, 4.856170199290518 52.390504324324475, 4.856170199290518 52.38870252252267))"
"POLYGON ((4.8591214697030605 52.38870252252267, 4.862072740115603 52.38870252252267, 4.862072740115603 52.390504324324475, 4.8591214697030605 52.390504324324475, 4.8591214697030605 52.38870252252267))"
"POLYGON ((4.862072740115603 52.38870252252267, 4.8650240105281455 52.38870252252267, 4.8650240105281455 52.390504324324475, 4.862072740115603 52.390504324324475, 4.862072740115603 52.38870252252267))"
"POLYGON ((4.8650240105281455 52.38870252252267, 4.867975280940688 52.38870252252267, 4.867975280940688 52.390504324324475, 4.8650240105281455 52.390504324324475, 4.8650240105281455 52.38870252252267))"
"POLYGON ((4.867975280940688 52.38870252252267, 4.8709265513532305 52.38870252252267, 4.8709265513532305 52.390504324324475, 4.867975280940688 52.390504324324475, 4.867975280940688 52.38870252252267))"
"POLYGON ((4.8709265513532305 52.38870252252267, 4.873877821765773 52.38870252252267, 4.873877821765773 52.390504324324475, 4.8709265513532305 52.390504324324475, 4.8709265513532305 52.38870252252267))"
"POLYGON ((4.873877821765773 52.38870252252267, 4.8768290921783155 52.38870252252267, 4.8768290921783155 52.390504324324475, 4.873877821765773 52.390504324324475, 4.873877821765773 52.38870252252267))"
